                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.67996,                0.57627,                 1.0779,                0.86259,                0.93901,                0.96795,                0.86561,                0.56753,                0.48881,                 1.0571,              0.0075745,              0.0075745,              0.0075745
                     52,                0.68783,                0.59954,                 1.0846,                0.94995,                0.90873,                0.96934,                0.86654,                   0.57,                0.44494,                 1.0744,               0.007525,               0.007525,               0.007525
                     53,                0.69024,                0.60026,                 1.0861,                0.90016,                0.96083,                0.97361,                0.85992,                0.56788,                0.42764,                 1.0479,              0.0074755,              0.0074755,              0.0074755
                     54,                0.66909,                0.56781,                 1.0722,                0.90506,                 0.9304,                0.96356,                 0.8618,                0.56171,                 0.4667,                 1.0309,               0.007426,               0.007426,               0.007426
                     55,                0.69145,                0.59109,                 1.0839,                0.93087,                0.91457,                 0.9522,                0.84758,                0.58874,                0.46551,                 1.0961,              0.0073765,              0.0073765,              0.0073765
                     56,                0.68298,                0.58217,                 1.0718,                 0.9325,                0.91823,                 0.9699,                0.87136,                0.56644,                0.44829,                  1.112,               0.007327,               0.007327,               0.007327
                     57,                0.69056,                0.58718,                 1.0941,                0.92878,                0.89779,                0.95438,                0.85089,                0.55507,                0.52842,                 1.0234,              0.0072775,              0.0072775,              0.0072775
                     58,                0.68536,                 0.5698,                 1.0786,                0.92018,                0.91241,                0.95238,                0.84808,                0.56385,                0.52588,                  1.042,               0.007228,               0.007228,               0.007228
                     59,                0.67259,                0.56438,                 1.0724,                 0.9141,                0.91845,                0.97099,                0.86075,                0.54593,                0.46877,                 1.0292,              0.0071785,              0.0071785,              0.0071785
                     60,                0.65859,                0.55685,                 1.0623,                0.91179,                0.89776,                0.92054,                0.82703,                0.54471,                0.60969,                  1.023,               0.007129,               0.007129,               0.007129
                     61,                0.67275,                 0.5601,                 1.0723,                0.91324,                0.92788,                0.94281,                0.84292,                0.56658,                0.48689,                 1.0487,              0.0070795,              0.0070795,              0.0070795
